"","genome_size","mass_preferred","ctmax","ctmin"
"genome_size",1,0.326793730196883,0.40204178015714,-0.233082859385553
"mass_preferred",0.326793730196883,1,0.170728825491781,-0.468756292163804
"ctmax",0.40204178015714,0.170728825491781,1,0.291694271778725
"ctmin",-0.233082859385553,-0.468756292163804,0.291694271778725,1
