species_name_audit_pk	species_pk	source_dataset	source_species_name	species_normalized	match_status
69		meiri	Leptotyphlops pungwensis	leptotyphlops_pungwensis	normalized_no_species_lookup_provided
70		meiri	Myriopholis yemenica	myriopholis_yemenica	normalized_no_species_lookup_provided
71		meiri	Indotyphlops tenebrarum	indotyphlops_tenebrarum	normalized_no_species_lookup_provided
72		meiri	Amphisbaena slevini	amphisbaena_slevini	normalized_no_species_lookup_provided
73		meiri	Brookesia tristis	brookesia_tristis	normalized_no_species_lookup_provided
74		meiri	Cnemaspis podihuna	cnemaspis_podihuna	normalized_no_species_lookup_provided
75		meiri	Goggia matzikamaensis	goggia_matzikamaensis	normalized_no_species_lookup_provided
76		meiri	Hemidactylus matschiei	hemidactylus_matschiei	normalized_no_species_lookup_provided
77		meiri	Lygodactylus decaryi	lygodactylus_decaryi	normalized_no_species_lookup_provided
78		meiri	Lygodactylus grandisonae	lygodactylus_grandisonae	normalized_no_species_lookup_provided
79		meiri	Lygodactylus heterurus	lygodactylus_heterurus	normalized_no_species_lookup_provided
80		meiri	Lygodactylus viscatus	lygodactylus_viscatus	normalized_no_species_lookup_provided
81		meiri	Mediodactylus aspratilis	mediodactylus_aspratilis	normalized_no_species_lookup_provided
82		meiri	Microgecko latifi	microgecko_latifi	normalized_no_species_lookup_provided
83		meiri	Nactus sphaerodactylodes	nactus_sphaerodactylodes	normalized_no_species_lookup_provided
84		meiri	Procellosaurinus erythrocercus	procellosaurinus_erythrocercus	normalized_no_species_lookup_provided
85		meiri	Flexiseps andranovahensis	flexiseps_andranovahensis	normalized_no_species_lookup_provided
86		meiri	Janetaescincus veseyfitzgeraldi	janetaescincus_veseyfitzgeraldi	normalized_no_species_lookup_provided
87		meiri	Lerista occulta	lerista_occulta	normalized_no_species_lookup_provided
88		meiri	Menetia concinna	menetia_concinna	normalized_no_species_lookup_provided
89		meiri	Menetia maini	menetia_maini	normalized_no_species_lookup_provided
90		meiri	Menetia surda	menetia_surda	normalized_no_species_lookup_provided
91		meiri	Paracontias hildebrandti	paracontias_hildebrandti	normalized_no_species_lookup_provided
92		meiri	Parvoscincus tagapayo	parvoscincus_tagapayo	normalized_no_species_lookup_provided
93		meiri	Proablepharus tenuis	proablepharus_tenuis	normalized_no_species_lookup_provided
94		meiri	Sphenomorphus sananus	sphenomorphus_sananus	normalized_no_species_lookup_provided
95		meiri	Coleodactylus brachystoma	coleodactylus_brachystoma	normalized_no_species_lookup_provided
96		meiri	Coleodactylus elizae	coleodactylus_elizae	normalized_no_species_lookup_provided
97		meiri	Gonatodes naufragus	gonatodes_naufragus	normalized_no_species_lookup_provided
98		meiri	Lepidoblepharis victormartinezi	lepidoblepharis_victormartinezi	normalized_no_species_lookup_provided
99		meiri	Pristurus schneideri	pristurus_schneideri	normalized_no_species_lookup_provided
100		meiri	Pristurus simonettai	pristurus_simonettai	normalized_no_species_lookup_provided
101		meiri	Sphaerodactylus callocricus	sphaerodactylus_callocricus	normalized_no_species_lookup_provided
102		meiri	Sphaerodactylus gilvitorques	sphaerodactylus_gilvitorques	normalized_no_species_lookup_provided
103		meiri	Sphaerodactylus macrolepis	sphaerodactylus_macrolepis	normalized_no_species_lookup_provided
104		meiri	Sphaerodactylus molei	sphaerodactylus_molei	normalized_no_species_lookup_provided
105		meiri	Calamaria boesemani	calamaria_boesemani	normalized_no_species_lookup_provided
106		meiri	Tropidonophis dolasii	tropidonophis_dolasii	normalized_no_species_lookup_provided
107		meiri	Epictia tesselata	epictia_tesselata	normalized_no_species_lookup_provided
108		meiri	Myriopholis tanae	myriopholis_tanae	normalized_no_species_lookup_provided
109		meiri	Myriopholis wilsoni	myriopholis_wilsoni	normalized_no_species_lookup_provided
110		meiri	Tricheilostoma kongoensis	tricheilostoma_kongoensis	normalized_no_species_lookup_provided
111		meiri	Afrotyphlops nanus	afrotyphlops_nanus	normalized_no_species_lookup_provided
112		meiri	Anilios tovelli	anilios_tovelli	normalized_no_species_lookup_provided
113		meiri	Malayotyphlops canlaonensis	malayotyphlops_canlaonensis	normalized_no_species_lookup_provided
114		meiri	Amphisbaena carvalhoi	amphisbaena_carvalhoi	normalized_no_species_lookup_provided
115		meiri	Amphisbaena maranhensis	amphisbaena_maranhensis	normalized_no_species_lookup_provided
116		meiri	Chirindia rondoensis	chirindia_rondoensis	normalized_no_species_lookup_provided
117		meiri	Cynisca haugi	cynisca_haugi	normalized_no_species_lookup_provided
118		meiri	Cynisca manei	cynisca_manei	normalized_no_species_lookup_provided
119		meiri	Cynisca rouxae	cynisca_rouxae	normalized_no_species_lookup_provided
120		meiri	Brookesia minima	brookesia_minima	normalized_no_species_lookup_provided
121		meiri	Brookesia ramanantsoai	brookesia_ramanantsoai	normalized_no_species_lookup_provided
122		meiri	Crenadactylus ocellatus	crenadactylus_ocellatus	normalized_no_species_lookup_provided
123		meiri	Cnemaspis avasabinae	cnemaspis_avasabinae	normalized_no_species_lookup_provided
124		meiri	Cnemaspis dissanayakai	cnemaspis_dissanayakai	normalized_no_species_lookup_provided
125		meiri	Cnemaspis menikay	cnemaspis_menikay	normalized_no_species_lookup_provided
126		meiri	Cnemaspis molligodai	cnemaspis_molligodai	normalized_no_species_lookup_provided
127		meiri	Cnemaspis phuketensis	cnemaspis_phuketensis	normalized_no_species_lookup_provided
128		meiri	Cnemaspis wicksi	cnemaspis_wicksi	normalized_no_species_lookup_provided
129		meiri	Cryptactites peringueyi	cryptactites_peringueyi	normalized_no_species_lookup_provided
130		meiri	Goggia essexi	goggia_essexi	normalized_no_species_lookup_provided
131		meiri	Goggia incognita	goggia_incognita	normalized_no_species_lookup_provided
132		meiri	Lygodactylus klemmeri	lygodactylus_klemmeri	normalized_no_species_lookup_provided
133		meiri	Lygodactylus mirabilis	lygodactylus_mirabilis	normalized_no_species_lookup_provided
134		meiri	Lygodactylus ornatus	lygodactylus_ornatus	normalized_no_species_lookup_provided
135		meiri	Lygodactylus wetzeli	lygodactylus_wetzeli	normalized_no_species_lookup_provided
136		meiri	Microgecko chabaharensis	microgecko_chabaharensis	normalized_no_species_lookup_provided
137		meiri	Microgecko varaviensis	microgecko_varaviensis	normalized_no_species_lookup_provided
138		meiri	Stenodactylus mauritanicus	stenodactylus_mauritanicus	normalized_no_species_lookup_provided
139		meiri	Tropiocolotes somalicus	tropiocolotes_somalicus	normalized_no_species_lookup_provided
140		meiri	Tropiocolotes wolfgangboehmei	tropiocolotes_wolfgangboehmei	normalized_no_species_lookup_provided
141		meiri	Bachia beebei	bachia_beebei	normalized_no_species_lookup_provided
142		meiri	Scriptosaura catimbau	scriptosaura_catimbau	normalized_no_species_lookup_provided
143		meiri	Eutropis ashwamedhi	eutropis_ashwamedhi	normalized_no_species_lookup_provided
144		meiri	Leptoseps osellai	leptoseps_osellai	normalized_no_species_lookup_provided
145		meiri	Lerista allochira	lerista_allochira	normalized_no_species_lookup_provided
146		meiri	Lerista christinae	lerista_christinae	normalized_no_species_lookup_provided
147		meiri	Lerista haroldi	lerista_haroldi	normalized_no_species_lookup_provided
