species_normalized	intercept	slope	r_squared	p_value	n
phrynosoma_platyrhinos	0.392229704056652	3.46059683690987e-07	0.00300392643958549	2.4157427941602e-28	40525
cyclura_pinguis	0.404119977877807	1.4980539964822e-07	0.000377294369519327	3.08753618525886e-05	46014
varanus_acanthurus	0.444100140370055	-7.0312376037282e-07	0.00223569093379342	2.97328823962188e-23	44090
